round,date,stability_pass,is_selected_round,is_last_round,oos_icir,oos_sharpe,oos_ls_rtn,turnover,oos_excess_vs_prevlib,d_oos_sharpe,d_oos_icir,test_oos_icir,test_oos_sharpe,test_oos_ls_rtn,test_oos_icir_pct,test_oos_sharpe_pct,test_oos_ls_rtn_pct
1,2014-05-21,False,False,False,7.628832592387764,7.626828601823286,0.031592835806718095,1.0,0.0,,,7.23328894988621,7.230043140490788,0.02998952099041148,0.8888888888888888,0.8888888888888888,0.9166666666666666
2,2014-06-19,False,False,False,7.53671617985209,7.531398302492919,0.031228938601172426,0.33333333333333337,-0.0003638972055456692,0.013495882357432931,0.013027227992510548,7.266467002526237,7.263804961706916,0.02998121415323163,0.9444444444444444,0.9444444444444444,0.8888888888888888
3,2014-07-18,False,False,False,7.5643958967925435,7.557397664944906,0.0313535920235265,0.360655737704918,0.0001246534223540742,0.0036768650992653473,0.003914503109983869,7.1164357425501015,7.116378116452697,0.029673408623549353,0.7777777777777778,0.7777777777777778,0.8055555555555556
4,2014-08-18,False,False,False,7.3783589450270854,7.374937618248967,0.030738112804644484,0.4126984126984127,-0.0006154792188820153,0.025803747262862498,0.026309598028926073,6.9163931358112105,6.917492260174316,0.02902991811013715,0.19444444444444445,0.19444444444444445,0.2222222222222222
5,2014-09-16,False,False,False,7.6305533203977065,7.626859041847848,0.03150510407488075,0.46153846153846156,0.000766991270236269,0.035627069390587573,0.03566567060033443,7.344855223178844,7.344080801986614,0.030318464788064586,0.9722222222222222,0.9722222222222222,0.9722222222222222
6,2014-10-15,False,False,False,7.533278020089227,7.52919881747108,0.031277350094032964,0.27586206896551724,-0.00022775398084778908,0.013811241381802564,0.013756804898016783,6.9249638507963756,6.92873297802169,0.02899442841870152,0.25,0.25,0.1388888888888889
7,2014-11-13,False,False,False,7.576544291259572,7.571048514656931,0.031429842174011464,0.3870967741935484,0.00015249207997850012,0.005918440934143732,0.006118774748241407,7.049474334740024,7.05121088853607,0.029417951804000378,0.5277777777777778,0.5277777777777778,0.5277777777777778
8,2014-12-12,False,False,False,7.261240388454702,7.257642519285833,0.03033378068840608,0.3870967741935484,-0.0010960614856053846,0.04432230091828471,0.04459070556158151,6.943134584152871,6.942603855942211,0.029179153321674544,0.3333333333333333,0.3055555555555556,0.3333333333333333
9,2015-01-12,False,False,False,7.398012252577539,7.393626227699877,0.030836979377154145,0.5294117647058824,0.0005031986887480654,0.019231000470093074,0.019342462519356562,7.129472438165289,7.128867052294384,0.029659153074244923,0.8055555555555556,0.8055555555555556,0.75
10,2015-02-10,False,False,False,7.454944575780871,7.451352255317775,0.030917964415061616,0.33333333333333337,8.0985037907471e-05,0.008163693115915471,0.008051446361156067,7.090934764248893,7.09280856794843,0.029483457432326266,0.6944444444444444,0.6944444444444444,0.5555555555555556
